ticker,fiscal_year,capital_expenditure,cash_and_cash_equivalents,cash_and_cash_equivalents_ending,cost_of_goods_sold,current_assets,current_liabilities,depreciation_and_amortization,equity,financial_expenses,financial_income,fixed_assets,general_and_administrative_expenses,gross_profit,income_tax_expense,interest_expense,long_term_borrowings,net_cash_from_financing_activities,net_cash_from_investing_activities,net_cash_from_operating_activities,net_change_in_cash,net_income_after_tax,net_inventory,net_revenue,non_current_assets,non_current_liabilities,operating_profit,operating_profit_before_working_capital_changes,profit_before_tax,receivables,retained_earnings,selling_expenses,short_term_borrowings,short_term_investments,total_assets,total_liabilities,trade_payables,trade_receivables,interest_expense_abs,total_borrowings,net_debt,working_capital,free_cash_flow,EBIT_proxy,EBITDA_proxy,current_ratio,current_ratio_below_1_flag,quick_ratio,cash_ratio,working_capital_to_assets,cfo_to_current_liabilities,negative_equity_flag,negative_ebitda_flag,liabilities_to_assets,equity_to_assets,debt_to_equity,borrowings_to_assets,net_debt_to_assets,short_term_borrowings_share,interest_coverage,net_debt_to_ebitda,net_revenue_prev,total_assets_prev,total_liabilities_prev,equity_prev,net_income_prev,net_inventory_prev,trade_receivables_prev,trade_payables_prev,liabilities_to_assets_prev,net_margin_current,net_margin_prev,average_total_assets,average_equity,average_inventory,average_trade_receivables,average_trade_payables,gross_margin,operating_margin,net_margin,negative_net_income_flag,roa,roe,asset_turnover,inventory_turnover,receivables_turnover,payables_turnover,inventory_days,receivable_days,payable_days,cash_conversion_cycle,cfo_margin,cfo_to_assets,cfo_to_liabilities,fcf_to_assets,accruals_to_assets,negative_cfo_flag,cfo_profit_divergence_flag,net_revenue_growth_yoy,total_assets_growth_yoy,total_liabilities_growth_yoy,net_income_change_to_assets,net_margin_change,liabilities_to_assets_change,normalized_item_count,core_item_count,core_item_coverage_pct,temporal_features_available_flag,feature_version
BMP,2022,-69983722708.0,358572000000.0,358572000000.0,-4200680000000.0,2215150000000.0,403473000000.0,170147000000.0,2621320000000.0,-157565000000.0,55197905430.0,367746000000.0,-128937000000.0,1607660000000.0,-177074000000.0,-27578302.0,0.0,-468722000000.0,-144801000000.0,799141000000.0,185618000000.0,694269000000.0,576848000000.0,5808340000000.0,829645000000.0,20000360583.0,868083000000.0,989886000000.0,871342000000.0,278727000000.0,598876000000.0,-503332000000.0,55160000000.0,965000000000.0,3044790000000.0,423473000000.0,91380423299.0,274800000000.0,27578302.0,55160000000.0,-1268412000000.0,1811677000000.0,729157277292.0,871369578302.0,1041516578302.0,5.490206283939694,0,4.060499711257011,3.280447514455738,0.5950088511851392,1.9806554589774286,0,0,0.1390811845808742,0.8609198007087516,0.16154952466696168,0.018116191921281926,-0.4165843949829052,1.0,31596.201183887246,-1.217850993853512,,,,,,,,,,0.11952967629305447,,,,,,,0.2767847612226557,0.14945457738355536,0.11952967629305447,0,,,,,,,,,,,0.13758509315914702,,1.887112047285187,,,0,0,,,,,,,37,8,1.0,0,v1.0
BMP,2023,-57978690490.0,821414000000.0,821414000000.0,-3040560000000.0,2593900000000.0,546150000000.0,172109000000.0,2689730000000.0,-145562000000.0,118503000000.0,285790000000.0,-106919000000.0,2116420000000.0,-266177000000.0,-38676662.0,0.0,-965949000000.0,-174061000000.0,1602840000000.0,462829000000.0,1041010000000.0,364226000000.0,5156980000000.0,661101000000.0,19121527459.0,1304060000000.0,1343870000000.0,1307180000000.0,174028000000.0,667287000000.0,-676251000000.0,55170000000.0,1190000000000.0,3255000000000.0,565272000000.0,154431000000.0,132519000000.0,38676662.0,55170000000.0,-1956244000000.0,2047750000000.0,1544861309510.0,1307218676662.0,1479327676662.0,4.749427812871922,0,4.082530440355214,3.682896640117184,0.6291090629800308,2.934798132381214,0,0,0.1736626728110599,0.8263379416282642,0.2101593840273931,0.016949308755760367,-0.6009966205837174,1.0,33798.64261972763,-1.3223872106645964,5808340000000.0,3044790000000.0,423473000000.0,2621320000000.0,694269000000.0,576848000000.0,274800000000.0,91380423299.0,0.1390811845808742,0.201864269397981,0.11952967629305447,3149895000000.0,2655525000000.0,470537000000.0,203659500000.0,122905711649.5,0.41039910955636827,0.252872805401611,0.201864269397981,0,0.3304903814254126,0.39201664454298113,1.6371910809725403,6.461893538659021,25.321578418880534,24.73896419615556,56.48499125161155,14.414583244457027,14.754053448071245,56.14552104799732,0.31080981504679095,0.508855057073331,2.8355198913089628,0.4904485100328741,-0.1783646756479184,0,0,-0.11214219553263066,0.06903924408579902,0.3348477943103811,0.11008017727575047,0.08233459310492652,0.0345814882301857,37,8,1.0,1,v1.0
BMP,2024,-108998000000.0,504173000000.0,504173000000.0,-2627050000000.0,2596110000000.0,481000000000.0,111113000000.0,2701700000000.0,-162364000000.0,78731633534.0,265199000000.0,-119641000000.0,1988630000000.0,-249771000000.0,-20863234.0,0.0,-969504000000.0,-248318000000.0,900555000000.0,-317267000000.0,990762000000.0,463584000000.0,4615680000000.0,604382000000.0,17796778543.0,1228940000000.0,1267300000000.0,1240530000000.0,177753000000.0,679256000000.0,-555916000000.0,54900000000.0,1410000000000.0,3200490000000.0,498796000000.0,172295000000.0,128698000000.0,20863234.0,54900000000.0,-1859273000000.0,2115110000000.0,791557000000.0,1240550863234.0,1351663863234.0,5.397318087318087,0,4.433525987525988,3.9795696465696464,0.660870679177251,1.8722557172557173,0,0,0.15584988548628492,0.8441519892266497,0.18462301513861643,0.017153623351424313,-0.5809338570031464,1.0,59461.10096037843,-1.3755439133746543,5156980000000.0,3255000000000.0,565272000000.0,2689730000000.0,1041010000000.0,364226000000.0,132519000000.0,154431000000.0,0.1736626728110599,0.21465136231281198,0.201864269397981,3227745000000.0,2695715000000.0,413905000000.0,130608500000.0,163363000000.0,0.4308422594287299,0.2662532931225735,0.21465136231281198,0,0.30695175734142566,0.36753217606460625,1.430001440634251,6.346987835372851,35.339813258708276,16.08105874647258,57.50759406939343,10.328294530816695,22.697510515597344,45.13837808461278,0.19510776310316139,0.2790043823164469,1.8054575417605594,0.24523529584895956,0.027947375024978738,0,0,-0.10496453350604423,-0.01674654377880184,-0.11760002264396609,-0.015567524696033919,0.012787092914830989,-0.01781278732477498,37,8,1.0,1,v1.0
BMP,2025,-125920000000.0,297408000000.0,297408000000.0,-2970010000000.0,2758360000000.0,483662000000.0,92525119984.0,2877460000000.0,-231323000000.0,102202000000.0,266434000000.0,-166090000000.0,2539560000000.0,-310183000000.0,-13860002.0,0.0,-1043730000000.0,-381977000000.0,1218890000000.0,-206815000000.0,1228740000000.0,524732000000.0,5509580000000.0,620470000000.0,17713807042.0,1534840000000.0,1528510000000.0,1538920000000.0,129177000000.0,855015000000.0,-710595000000.0,54900000000.0,1760000000000.0,3378830000000.0,501376000000.0,111185000000.0,63689387409.0,13860002.0,54900000000.0,-2002508000000.0,2274698000000.0,1092970000000.0,1538933860002.0,1631458979986.0,5.703073634066766,0,4.618158962250497,4.253813613639277,0.6732206118686054,2.5201276924794587,0,0,0.14838745956440544,0.8516143161982106,0.17424256114767886,0.016248227936889396,-0.592663140791339,1.0,111034.17301108614,-1.2274338641460567,4615680000000.0,3200490000000.0,498796000000.0,2701700000000.0,990762000000.0,463584000000.0,128698000000.0,172295000000.0,0.15584988548628492,0.22301881450128686,0.21465136231281198,3289660000000.0,2789580000000.0,494158000000.0,96193693704.5,141740000000.0,0.46093531630360207,0.2785765884150879,0.22301881450128686,0,0.3735158040648578,0.44047491020153573,1.6748174583391597,6.010243687241732,57.27589603664693,20.95392973049245,60.7296507419167,6.372663288697596,17.419166938831857,49.68314709178244,0.22123101942434814,0.370521573658068,2.431089641307123,0.3322440616963455,0.0029942304067897595,0,0,0.1936659387132557,0.055722717458889105,0.005172455272295688,0.07234121459360542,0.008367452188474872,-0.007462425921879484,37,8,1.0,1,v1.0
CTD,2022,-194756000000.0,1064440000000.0,1064440000000.0,-14050200000000.0,17465000000000.0,10226600000000.0,106289000000.0,8213960000000.0,-162646000000.0,380957000000.0,560040000000.0,-734758000000.0,486734000000.0,-14033720468.0,-79172332132.0,524113000000.0,1073370000000.0,733457000000.0,-1627090000000.0,179740000000.0,20791833411.0,2837860000000.0,14536900000000.0,1502070000000.0,526525000000.0,-53535463128.0,387663000000.0,34825553879.0,11235400000000.0,336088000000.0,0.0,553077000000.0,1778380000000.0,18967100000000.0,10753100000000.0,5188560000000.0,10926600000000.0,79172332132.0,1077190000000.0,-1765630000000.0,7238400000000.0,-1821846000000.0,113997886011.0,220286886011.0,1.7078012242583067,0,1.4303033266188176,0.2779829073201259,0.3816292422141498,-0.15910370993292003,0,0,0.566934323117398,0.4330635679676914,1.3091249531285762,0.05679255131253592,-0.09308908583810915,0.5134442391778609,1.4398702544335453,-8.01513894890608,,,,,,,,,,0.0014302797302726165,,,,,,,0.03348265448616968,-0.003682728995040208,0.0014302797302726165,0,,,,,,,,,,,-0.11192826531103606,,-0.15131357469008938,,,1,1,,,,,,,37,8,1.0,0,v1.0
CTD,2023,-415209000000.0,2842180000000.0,2842180000000.0,-16102200000000.0,19889400000000.0,12745700000000.0,98681439393.0,8407430000000.0,-130346000000.0,347790000000.0,474510000000.0,-398185000000.0,425978000000.0,-56346253865.0,-96138110828.0,496345000000.0,3636027337.0,306629000000.0,1467430000000.0,1777690000000.0,187922000000.0,2602820000000.0,16528200000000.0,1762450000000.0,498778000000.0,238252000000.0,235520000000.0,244269000000.0,11845200000000.0,524027000000.0,-40602692.0,581932000000.0,1768450000000.0,21651900000000.0,13244500000000.0,5770250000000.0,11669900000000.0,96138110828.0,1078277000000.0,-3532353000000.0,7143700000000.0,1052221000000.0,340407110828.0,439088550221.0,1.560479220442973,0,1.356267603976243,0.3617400378166754,0.3299340935437537,0.1151313776410868,0,0,0.6117015134930421,0.38829987206665467,1.575332771132201,0.04980057177430156,-0.16314286506034112,0.5396869264576728,3.5408133974779252,-8.044739490979923,14536900000000.0,18967100000000.0,10753100000000.0,8213960000000.0,20791833411.0,2837860000000.0,10926600000000.0,5188560000000.0,0.566934323117398,0.011369780133347855,0.0014302797302726165,20309500000000.0,8310695000000.0,2720340000000.0,11298250000000.0,5479405000000.0,0.0257728004259387,0.0144148788131799,0.011369780133347855,0,0.009252911199192497,0.02261206794377606,0.8138161943917871,5.919186572266702,1.4628991215453722,2.9386767358864696,61.6638782278198,249.5045588751346,124.20556352548098,186.9628735774734,0.08878341259181279,0.07225337896058495,0.11079542451583677,0.051809301066003594,-0.06300046776139245,0,0,0.1369824377962289,0.141550368796495,0.2316913262222057,0.008229162046776138,0.009939500403075239,0.04476719037564414,37,8,1.0,1,v1.0
CTD,2024,-439084000000.0,2478610000000.0,2478610000000.0,-22060100000000.0,24836700000000.0,18328100000000.0,54328894561.0,8688770000000.0,-115073000000.0,239398000000.0,453543000000.0,-594485000000.0,845726000000.0,-91990009396.0,-115697000000.0,18576428705.0,1293040000000.0,-799497000000.0,-857050000000.0,-363512000000.0,371405000000.0,4934880000000.0,22905800000000.0,2240160000000.0,60000936512.0,374483000000.0,809486000000.0,463395000000.0,13711800000000.0,795472000000.0,-1065372003.0,2633940000000.0,2188770000000.0,27076900000000.0,18388100000000.0,7134880000000.0,13643900000000.0,115697000000.0,2652516428705.0,-2014863571295.0,6508600000000.0,-1296134000000.0,579092000000.0,633420894561.0,1.3551159149066188,0,1.0858637829344013,0.25465705665071664,0.240374636682929,-0.046761530109503985,0,0,0.6791065446930779,0.3208923473514324,2.1163064507404385,0.0979623379598477,-0.07441263849609815,0.9929966772292267,5.0052464627432,-3.1809237563775437,16528200000000.0,21651900000000.0,13244500000000.0,8407430000000.0,187922000000.0,2602820000000.0,11669900000000.0,5770250000000.0,0.6117015134930421,0.01621445223480516,0.011369780133347855,24364400000000.0,8548100000000.0,3768850000000.0,12656900000000.0,6452565000000.0,0.03692191497350016,0.016348828680945438,0.01621445223480516,0,0.015243757285219418,0.04344883658356828,0.940133965950321,5.8532708916513,1.8097480425696655,3.418810968971254,62.35829619992656,201.68553379493403,106.7622642236436,157.28156577121698,-0.037416287577818716,-0.03517632283167244,-0.046608948178441495,-0.05319786245505738,0.050420080116891856,1,1,0.3858617393303566,0.25055537851181653,0.3883574313866133,0.00753078261726125,0.004844672101457304,0.06740503120003571,37,8,1.0,1,v1.0
CTD,2025,-622700000000.0,1846990000000.0,1846990000000.0,-29593700000000.0,32365000000000.0,24847800000000.0,110587000000.0,9385340000000.0,-241909000000.0,293200000000.0,555140000000.0,-382279000000.0,1105360000000.0,-179780000000.0,-178001000000.0,179918000000.0,2394930000000.0,-2196200000000.0,-830902000000.0,-632175000000.0,781347000000.0,7569290000000.0,30699000000000.0,2077290000000.0,209076000000.0,773238000000.0,712870000000.0,961127000000.0,16354400000000.0,1475360000000.0,-1113646411.0,5062240000000.0,4437210000000.0,34442200000000.0,25056900000000.0,8056900000000.0,15544700000000.0,178001000000.0,5242158000000.0,-1042042000000.0,7517200000000.0,-1453602000000.0,1139128000000.0,1249715000000.0,1.3025298014311126,0,0.9979036373441512,0.2529077020903259,0.21825551213337127,-0.033439660654061926,0,0,0.7275057923129185,0.27249536905308025,2.6697913980740178,0.15220160152371218,-0.030254803700112073,0.9656786384538582,6.399559553036219,-0.8338237118062919,22905800000000.0,27076900000000.0,18388100000000.0,8688770000000.0,371405000000.0,4934880000000.0,13643900000000.0,7134880000000.0,0.6791065446930779,0.025451871396462426,0.01621445223480516,30759550000000.0,9037055000000.0,6252085000000.0,14594300000000.0,7595890000000.0,0.03600638457278739,0.025187725984559758,0.025451871396462426,0,0.025401769531738925,0.0864603568308481,0.998031505662469,4.733412933445402,2.1034924593848285,3.896014818540026,77.11137928004948,173.52094530766473,93.68547528696986,156.94684930074436,-0.02706609335808984,-0.027012813906575357,-0.033160606459697727,-0.04725693321261202,0.05241458343831428,1,1,0.34022823913593936,0.27201415228478887,0.3626693350590871,0.013327308104312319,0.009237419161657268,0.0483992476198406,37,8,1.0,1,v1.0
DGC,2022,-157456000000.0,1535470000000.0,1535470000000.0,-7693760000000.0,10985300000000.0,2571430000000.0,285341000000.0,10833700000000.0,-149754000000.0,533264000000.0,1781230000000.0,-151828000000.0,6750350000000.0,-338765000000.0,-17597975233.0,0.0,-697054000000.0,-3827780000000.0,5936760000000.0,1411920000000.0,6036980000000.0,999984000000.0,14444100000000.0,2419890000000.0,100000000.0,6381650000000.0,6363050000000.0,6375750000000.0,918723000000.0,5083860000000.0,-600387000000.0,467625000000.0,7471320000000.0,13405200000000.0,2571530000000.0,326043000000.0,514033000000.0,17597975233.0,467625000000.0,-8539165000000.0,8413870000000.0,5779304000000.0,6393347975233.0,6678688975233.0,4.272058737745145,0,3.883176287124285,3.5026386096452167,0.6276571778115955,2.3087387173673792,0,0,0.1918307820845642,0.8081714558529526,0.2373639661426844,0.03488385104287888,-0.6370039238504461,1.0,363.30020303950045,-1.2785690472585742,,,,,,,,,,0.4179547358437009,,,,,,,0.4673430674116075,0.4418170740994593,0.4179547358437009,0,,,,,,,,,,,0.41101626269549507,,2.3086489366252776,,,0,0,,,,,,,37,8,1.0,0,v1.0
DGC,2023,-250812000000.0,1060570000000.0,1060570000000.0,-6310950000000.0,12466600000000.0,3492910000000.0,347774000000.0,12037300000000.0,-98468801772.0,739261000000.0,2456830000000.0,-145403000000.0,3437060000000.0,-243321000000.0,-31946744275.0,0.0,-920431000000.0,-2338350000000.0,2783890000000.0,-474901000000.0,3252060000000.0,854909000000.0,9748010000000.0,3133870000000.0,70274856218.0,3496760000000.0,3249760000000.0,3495380000000.0,1129510000000.0,5999140000000.0,-435691000000.0,1328010000000.0,9342000000000.0,15600500000000.0,3563180000000.0,190111000000.0,717628000000.0,31946744275.0,1328010000000.0,-9074560000000.0,8973690000000.0,2533078000000.0,3527326744275.0,3875100744275.0,3.569115722993149,0,3.324360203956014,2.978195830983335,0.5752181019839108,0.7970116607642338,0,0,0.22840165379314767,0.7715970641966604,0.2960115640550622,0.08512611775263614,-0.5816839203871671,1.0,110.41271416929072,-2.341761053156252,14444100000000.0,13405200000000.0,2571530000000.0,10833700000000.0,6036980000000.0,999984000000.0,514033000000.0,326043000000.0,0.1918307820845642,0.3336127065934483,0.4179547358437009,14502850000000.0,11435500000000.0,927446500000.0,615830500000.0,258077000000.0,0.35259093907371863,0.3587152659876221,0.3336127065934483,0,0.22423592604212275,0.28438284290149096,0.6721444405754731,6.804651265598609,15.829047116048978,24.45374829992599,53.63978046094486,23.05887381116761,14.926137110894556,61.77251716121792,0.2855854682135123,0.19195468476885577,0.7812936758737982,0.1746607046201264,0.03228124127326698,0,0,-0.32512167597842717,0.1637648076865694,0.38562645584535277,-0.19202570529240803,-0.08434202925025258,0.036570871708583474,37,8,1.0,1,v1.0
