ticker,year,check_name,left_value,right_value,difference,allowed_error,status
BMP,2022,assets_equation,3044790000000.0,3044793000000.0,-3000000.0,30447930.000000004,pass
BMP,2022,net_sales,5808340000000.0,5808341119635.0,-1119635.0,58413188.80365001,pass
BMP,2022,gross_profit,1607660000000.0,1607660000000.0,0.0,100090200.00000001,pass
BMP,2022,profit_after_tax,694269000000.0,694268000000.0,1000000.0,10484160.0,pass
BMP,2022,net_cash_increase,185618000000.0,185618000000.0,0.0,14126640.000000002,pass
BMP,2022,ending_cash,358572000000.0,358572656349.0,-656349.0,5000000.0,pass
BMP,2022,cash_cross_statement,358572000000.0,358572000000.0,0.0,3585720.0000000005,pass
BMP,2023,assets_equation,3255000000000.0,3255002000000.0,-2000000.0,32550020.000000004,pass
BMP,2023,net_sales,5156980000000.0,5156981584531.0,-1584531.0,52428584.154690005,pass
BMP,2023,gross_profit,2116420000000.0,2116420000000.0,0.0,81975400.0,pass
BMP,2023,profit_after_tax,1041010000000.0,1041003000000.0,7000000.0,15733570.000000002,pass
BMP,2023,net_cash_increase,462829000000.0,462830000000.0,-1000000.0,27428500.000000004,pass
BMP,2023,ending_cash,821414000000.0,821414249217.0,-249217.0,8214142.49217,pass
BMP,2023,cash_cross_statement,821414000000.0,821414000000.0,0.0,8214140.000000001,pass
BMP,2024,assets_equation,3200490000000.0,3200496000000.0,-6000000.0,32004960.000000004,pass
BMP,2024,net_sales,4615680000000.0,4615679241794.0,758206.0,47415607.58206,pass
BMP,2024,gross_profit,1988630000000.0,1988630000000.0,0.0,72427300.0,pass
BMP,2024,profit_after_tax,990762000000.0,990759000000.0,3000000.0,14903010.000000002,pass
BMP,2024,net_cash_increase,-317267000000.0,-317267000000.0,0.0,21183770.0,pass
BMP,2024,ending_cash,504173000000.0,504172002162.0,997838.0,11387060.021620002,pass
BMP,2024,cash_cross_statement,504173000000.0,504173000000.0,0.0,5041730.0,pass
BMP,2025,assets_equation,3378830000000.0,3378836000000.0,-6000000.0,33788360.0,pass
BMP,2025,net_sales,5509580000000.0,5509576157059.0,3842941.0,56940038.42941,pass
BMP,2025,gross_profit,2539560000000.0,2539570000000.0,-10000000.0,84795900.0,pass
BMP,2025,profit_after_tax,1228740000000.0,1228737000000.0,3000000.0,18491030.0,pass
BMP,2025,net_cash_increase,-206815000000.0,-206817000000.0,2000000.0,26445970.000000004,pass
BMP,2025,ending_cash,297408000000.0,297408054444.0,-54444.0,7110380.54444,pass
BMP,2025,cash_cross_statement,297408000000.0,297408000000.0,0.0,2974080.0000000005,pass
CTD,2022,assets_equation,18967100000000.0,18967060000000.0,40000000.0,189671000.00000003,pass
CTD,2022,net_sales,14536900000000.0,14536960395774.0,-60395774.0,145404396.04226002,pass
CTD,2022,gross_profit,486734000000.0,486700000000.0,34000000.0,285871000.0,pass
CTD,2022,profit_after_tax,20791833411.0,20791833411.0,0.0,2000000.0,pass
CTD,2022,net_cash_increase,179740000000.0,179737000000.0,3000000.0,34339170.0,pass
CTD,2022,ending_cash,1064440000000.0,1064439835914.0,164086.0,10644601.64086,pass
CTD,2022,cash_cross_statement,1064440000000.0,1064440000000.0,0.0,10644400.0,pass
CTD,2023,assets_equation,21651900000000.0,21651930000000.0,-30000000.0,216519300.00000003,pass
CTD,2023,net_sales,16528200000000.0,16528171401456.0,28598544.0,165316285.98544002,pass
CTD,2023,gross_profit,425978000000.0,426000000000.0,-22000000.0,326304000.0,pass
CTD,2023,profit_after_tax,187922000000.0,187922746135.0,-746135.0,3006152.5386500005,pass
CTD,2023,net_cash_increase,1777690000000.0,1777695027337.0,-5027337.0,17776950.27337,pass
CTD,2023,ending_cash,2842180000000.0,2842176882670.0,3117330.0,28421800.000000004,pass
CTD,2023,cash_cross_statement,2842180000000.0,2842180000000.0,0.0,28421800.000000004,pass
CTD,2024,assets_equation,27076900000000.0,27076870000000.0,30000000.0,270769000.0,pass
