ticker,fiscal_year,statement_type,item_id,item_name_vi,item_name_en,raw_value,currency,value_vnd,audit_status,collected_at,sign_rule_x,value_processor,value_status,sign_rule_y
BMP,2022,balance_sheet,bsa1,TÀI SẢN NGẮN HẠN,CURRENT ASSETS,2215150000000.0,VND,2215150000000.0,audited,7/27/2026,always_positive,2215150000000.0,reported,always_positive
BMP,2022,balance_sheet,bsa10,Trả trước người bán,Prepayments to suppliers,43255736124.0,VND,43255736124.0,audited,7/27/2026,always_positive,43255736124.0,reported,always_positive
BMP,2022,balance_sheet,bsa11,Phải thu nội bộ,Intercompany receivables,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa12,Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa120,Cổ phiếu ưu đãi,Preferred shares,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa13,Phải thu khác,Other receivables,19601182695.0,VND,19601182695.0,audited,7/27/2026,always_positive,19601182695.0,reported,always_positive
BMP,2022,balance_sheet,bsa14,Dự phòng nợ khó đòi,Provision for doubtful debts,-59022639344.0,VND,-59022639344.0,audited,7/27/2026,contra_asset,-59022639344.0,reported,contra_asset
BMP,2022,balance_sheet,bsa15,"Hàng tồn kho, ròng","Inventories, Net",576848000000.0,VND,576848000000.0,audited,7/27/2026,always_positive,576848000000.0,reported,always_positive
BMP,2022,balance_sheet,bsa159,Phải thu cho vay ngắn hạn,Short-term loans receivables,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa16,Hàng tồn kho,Inventories,577484000000.0,VND,577484000000.0,audited,7/27/2026,always_positive,577484000000.0,reported,always_positive
BMP,2022,balance_sheet,bsa160,Giao dịch mua bán lại trái phiếu Chính phủ,Government bonds purchased for resale,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa161,Trả trước người bán dài hạn,Long-term prepayments to suppliers,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa162,Phải thu cho vay dài hạn,Long-term loans receivables,20000000000.0,VND,20000000000.0,audited,7/27/2026,always_positive,20000000000.0,reported,always_positive
BMP,2022,balance_sheet,bsa163,Tài sản dở dang dài hạn,Long-term incomplete assets,25071276356.0,VND,25071276356.0,audited,7/27/2026,always_positive,25071276356.0,reported,always_positive
BMP,2022,balance_sheet,bsa164,"Chi phí sản xuất, kinh doanh dở dang dài hạn",Long-term cost of work in progress,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa165,Đầu tư nắm giữ đến ngày đáo hạn,Held-to-maturity investment,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa166,"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Long-term equipment, material and spare parts",37633140581.0,VND,37633140581.0,audited,7/27/2026,always_positive,37633140581.0,reported,always_positive
BMP,2022,balance_sheet,bsa167,Doanh thu chưa thực hiện ngắn hạn,Short-term unrealized revenue,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa168,Quỹ bình ổn giá,Price stabilization fund,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa169,Giao dịch mua bán lại trái phiếu chính phủ,Government bonds purchased for resale,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa17,Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,-635389460.0,VND,-635389460.0,audited,7/27/2026,contra_asset,-635389460.0,reported,contra_asset
BMP,2022,balance_sheet,bsa170,Người mua trả tiền trước dài hạn,Long-term advances from customers,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa171,Chi phí phải trả dài hạn,Long-term accrued expenses,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa172,Phải trả nội bộ về vốn kinh doanh,Intra-company payables for operating capital received,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa173,Trái phiếu chuyển đổi,Convertible bonds,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa174,Cổ phiếu ưu đãi,Preferred shares,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa175,Cổ phiếu phổ thông,Common shares,818609000000.0,VND,818609000000.0,audited,7/27/2026,always_positive,818609000000.0,reported,always_positive
BMP,2022,balance_sheet,bsa176,Quyền chọn chuyển đổi trái phiếu,Conversion options on convertible bonds,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa177,LNST chưa phân phối lũy kế đến cuối kỳ trước,Beginning accumulated undistributed earnings,158376000000.0,VND,158376000000.0,audited,7/27/2026,signed,158376000000.0,reported,signed
BMP,2022,balance_sheet,bsa178,LNST chưa phân phối kỳ này,Current period undistributed earnings,440500000000.0,VND,440500000000.0,audited,7/27/2026,signed,440500000000.0,reported,signed
BMP,2022,balance_sheet,bsa18,Tài sản lưu động khác,Other current assets,35999401413.0,VND,35999401413.0,audited,7/27/2026,always_positive,35999401413.0,reported,always_positive
BMP,2022,balance_sheet,bsa188,Xây dựng cơ bản đang dở dang,Construction in progress,25071276356.0,VND,25071276356.0,audited,7/27/2026,always_positive,25071276356.0,reported,always_positive
BMP,2022,balance_sheet,bsa19,Chi phí trả trước ngắn hạn,Short-term prepayments,722740291.0,VND,722740291.0,audited,7/27/2026,always_positive,722740291.0,reported,always_positive
BMP,2022,balance_sheet,bsa2,Tiền và tương đương tiền,Cash and cash equivalents,358572000000.0,VND,358572000000.0,audited,7/27/2026,always_positive,358572000000.0,reported,always_positive
BMP,2022,balance_sheet,bsa20,Thuế GTGT được khấu trừ,VAT to be claimed,35276661122.0,VND,35276661122.0,audited,7/27/2026,always_positive,35276661122.0,reported,always_positive
BMP,2022,balance_sheet,bsa209,Lợi thế thương mại,Goodwill,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa21,Phải thu thuế khác,Other taxes receivable,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa210,Lợi ích cổ đông không kiểm soát,Minority interests,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa211,Nguồn kinh phí đã hình thành TSCĐ,Funds used for fixed asset acquisitions,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
BMP,2022,balance_sheet,bsa22,Tài sản lưu động khác,Other current assets,0.0,VND,0.0,audited,7/27/2026,always_positive,0.0,zero_reported,always_positive
